array, random_access,1,830.79
array, random_access,2,214.79
array, random_access,3,212.75
array, random_access,4,207.54
array, random_access,5,208.38
arraylist, random_access,1,6377.33
arraylist, random_access,2,1166.42
arraylist, random_access,3,936.42
arraylist, random_access,4,251.42
arraylist, random_access,5,207.04
array, append,1,1671.71
array, append,2,967.33
array, append,3,319.13
array, append,4,326.46
array, append,5,366.96
arraylist, append,1,8249.29
arraylist, append,2,2416.96
arraylist, append,3,1957.13
arraylist, append,4,1640.42
arraylist, append,5,1904.54
array, insert,1,1563.79
array, insert,2,748.17
array, insert,3,800.46
array, insert,4,500.79
array, insert,5,796.25
arraylist, insert,1,2245178.71
arraylist, insert,2,3035892.38
arraylist, insert,3,4044042.71
arraylist, insert,4,4987719.88
arraylist, insert,5,5887645.71
array, removed,1,1298.83
array, removed,2,442.04
array, removed,3,439.67
array, removed,4,432.29
array, removed,5,429.83
arraylist, removed,1,331342.13
arraylist, removed,2,303237.58
arraylist, removed,3,264092.46
arraylist, removed,4,225682.58
arraylist, removed,5,193553.29
